
1,"CMIP3, MULTI-MODEL MEAN SIMULATION Temperature Difference (F) from 1971-2000","Figure 14. Simulated difference in mean annual temperature (F) for the Great Plains region, for each future time period (2021-2050, 2041-2070, and 2071-2099) with respect to the reference period of 1971-2000. These fields are multi-model means from the 15 CMIP3 global climate simulations for the high (A2) and low (B1) emissions scenarios. Color with stippling (category 3) indicates that more than 50% of the models show a statistically significant change in temperature, and more than 67% agree on the sign of the change (see text). Temperature changes increase throughout the 21st century, more rapidly for the high emissions scenario.","","Simulated","","","Andrew Buddenberg","CMIP3","http://www-pcmdi.llnl.gov/ipcc/about_ipcc.php","","","",""
2,"Annual and seasonal temperature anomaly","Temperature anomaly (deviations from the 1901-1960 average, F) for annual (black), winter (blue), spring (green), summer (red), and fall (orange), for the given region. Dashed lines indicate the best fit by minimizing the chi-square error statistic. Based on data from the National Climatic Data Center for the NWS Cooperative Observer Network. The warmest periods were in the 1920s and 1930s and the 2000s. Trends are not statistically significant for any season.","SE","Observed","Temperature","CLIMATE OF THE SOUTHEAST U.S.","Laura Stevens","CDDv2","ftp://ncdcftp/pub/upload/7days","figures/Southeast/temp_anom_SE_trend.png","","metadata/Southeast/001TSU2013SCE1.012SE.html",""
3,"Projected greenhouse gas emissions and atmospheric CO2 concentrations","a) Global greenhouse gas (GHG) emissions (GtCO2-equivalent per year) from 2000 to 2100 for two of the SRES scenarios: A2 (red line) and B1 (blue line). Adapted from IPCC (2007) Fig. 3.1. b) Observed annual mean (black line) and projected atmospheric CO2 concentrations (ppm) for two of the SRES scenarios: A2 (red line) and B1 (blue line). Observations are measurements from the Mauna Loa Observatory, Hawaii, from 1958 to 2008. Projections are from two fast carbon cycle models the Bern Model and the Integrated Science Assessment Model (ISAM). Data from IPCC (2012). These graphs show that the CO2 concentrations are comparable under these two scenarios in the early part of the 21st century but diverge greatly by the end of the century.","SE","","Greenhouse Gases","CLIMATE OF THE SOUTHEAST U.S.","Laura Stevens","IPCC","","figures/Southeast/SRES_emissions_concentrations.png","","metadata/Southeast/001TSU2013SCE1.000SE.html",""
4,"Average daily January minimum temperature","Map of average daily January minimum temperature using the Parameter-elevation Regressions on Independent Slopes Model (PRISM) [http://www.prism.oregonstate.edu/].This illustrates the large north-south differences in temperature and the generally mild winter temperatures along the Gulf Coast and Florida.","SE","","Temperature","CLIMATE OF THE SOUTHEAST U.S.","","PRISM","http://www.prism.oregonstate.edu/.","figures/Southeast/SE_Jan_min_temp.tif","","metadata/Southeast/001TSU2013SCE1.001SE.html",""
5,"Average daily July maximum temperature","average daily July maximum temperature. Very warm mid-summer conditions are characteristic of most of this region. The coolest areas during mid-summer are the higher elevation areas of the southern Appalachians.","SE","","Temperature","CLIMATE OF THE SOUTHEAST U.S.","","PRISM","http://www.prism.oregonstate.edu/.","figures/Southeast/SE_Jul_max_temp.tif","","metadata/Southeast/001TSU2013SCE1.002SE.html",""
6,"Annual average precipitation","Average daily January minimum temperature for the Southeast region using the Parameter-elevation Regressions on Independent Slopes Model (PRISM) [http://www.prism.oregonstate.edu/]. This illustrates the large north-south differences in temperature and the generally mild winter temperatures along the Gulf Coast and Florida.","SE","","Precipitation","CLIMATE OF THE SOUTHEAST U.S.","","PRISM","http://www.prism.oregonstate.edu/.","figures/Southeast/SE_ann_precip.tif","","metadata/Southeast/001TSU2013SCE1.003SE.html",""
7,"Annual average snowfall","Annual average snowfall from 1981 to 2010 using data from the Global Historical Climatology Network (GHCN) [http://www.ncdc.noaa.gov/oa/climate/ghcn-daily/].Snow is a regular occurrence only in the northern half of the region. The southern half of the region receives snow less than once every two years.","SE","Observed","Precipitation, Snow","CLIMATE OF THE SOUTHEAST U.S.","","GHCN-D","ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/daily/","figures/Southeast/SE_ann_snow.tif","","metadata/Southeast/001TSU2013SCE1.004SE.html",""
8,"Monthly precipitation normals","Monthly precipitation normals (1981-2010) for 17 geographically distributed stations in the Southeast United States. These stations are located in mostly medium to large urban areas. At most locations precipitation is rather evenly distributed throughout the year. Coastal regions experience a summer maximum, most prominent in southern Florida.","SE","","Precipitation","CLIMATE OF THE SOUTHEAST U.S.","","","","figures/Southeast/monthly_precip_normals.png","","metadata/Southeast/001TSU2013SCE1.005SE.html",""
9,"Morganza Floodway opened in Louisiana","On May 14, 2011, the U.S. Army of Corps of Engineers opened the first gate on the Morganza Floodway in Louisiana to relieve flooding on the Mississippi River. Photo Credit: U.S. Army Corps of Engineers. Found at: http://www.flickr.com/photos/30539067@N04/5722952407","SE","","Rivers","CLIMATE OF THE SOUTHEAST U.S.","","","","figures/Southeast/Morganza_Floodway.jpg","","metadata/Southeast/001TSU2013SCE1.006SE.html",""
10,"Mean annual number of days with a maximum temperature >=95F and a minimum temperature >=75F","Mean annual number of days with a maximum temperature >= 95 degrees F (left) and a minimum temperature >= 75 degrees F (right). Variability from one station to the next is associated with local effects, including topography and land cover. The highest number of 95 degree days occurs in western and interior southern parts of the region. Hot nights are most frequent in Florida, along the coasts, and along the Mississippi River valley.","SE","","Temperature","CLIMATE OF THE SOUTHEAST U.S.","","","","figures/Southeast/SE_mean_ann_tx95_tn_75.png","","metadata/Southeast/001TSU2013SCE1.007SE.html",""
